customer_id,signup_date,country,channel
1,2023-01-01,NL,Organic
2,2023-01-01,NL,Organic
3,2023-01-01,NL,Organic
4,2023-01-01,DE,Organic
5,2023-01-01,DE,Organic
6,2023-01-01,NL,Organic
7,2023-01-01,NL,Organic
8,2023-01-01,DE,Organic
9,2023-01-01,DE,Organic
10,2023-01-01,NL,Organic
11,2023-01-01,DE,Organic
12,2023-01-01,DE,Organic
13,2023-01-01,NL,Organic
14,2023-01-01,NL,Organic
15,2023-01-01,DE,Organic
16,2023-01-01,DE,Organic
17,2023-01-01,NL,Organic
18,2023-01-01,NL,Organic
19,2023-01-01,DE,Organic
20,2023-01-01,DE,Organic
21,2023-01-01,DE,Organic
22,2023-01-01,NL,Organic
23,2023-01-01,DE,Organic
24,2023-01-01,DE,Organic
25,2023-01-01,DE,Organic
26,2023-01-01,NL,Organic
27,2023-01-01,DE,Organic
28,2023-01-01,NL,Organic
29,2023-01-01,NL,Organic
30,2023-01-01,DE,Organic
31,2023-01-01,DE,Organic
32,2023-01-01,NL,Organic
33,2023-01-01,NL,Organic
34,2023-01-01,NL,Organic
35,2023-01-01,DE,Organic
36,2023-01-01,NL,Social
37,2023-01-01,NL,Social
38,2023-01-01,DE,Social
39,2023-01-01,DE,Paid Search
40,2023-01-01,DE,Paid Search
41,2023-01-01,DE,Paid Search
42,2023-01-01,NL,Paid Search
43,2023-01-01,NL,Paid Search
44,2023-01-01,NL,Paid Search
45,2023-01-01,DE,Paid Search
46,2023-01-01,NL,Paid Search
47,2023-01-01,DE,Paid Search
48,2023-01-01,NL,Paid Search
49,2023-01-01,DE,Paid Search
50,2023-01-01,NL,Paid Search
51,2023-01-01,NL,Paid Search
52,2023-01-02,NL,Organic
53,2023-01-02,DE,Organic
54,2023-01-02,NL,Organic
55,2023-01-02,DE,Organic
56,2023-01-02,NL,Organic
57,2023-01-02,NL,Organic
58,2023-01-02,DE,Organic
59,2023-01-02,DE,Organic
60,2023-01-02,NL,Organic
61,2023-01-02,DE,Organic
62,2023-01-02,NL,Organic
63,2023-01-02,NL,Organic
64,2023-01-02,DE,Organic
65,2023-01-02,DE,Organic
66,2023-01-02,NL,Organic
67,2023-01-02,NL,Organic
68,2023-01-02,NL,Organic
69,2023-01-02,NL,Organic
70,2023-01-02,DE,Organic
71,2023-01-02,DE,Organic
72,2023-01-02,DE,Organic
73,2023-01-02,DE,Organic
74,2023-01-02,NL,Organic
75,2023-01-02,DE,Organic
76,2023-01-02,DE,Organic
77,2023-01-02,DE,Organic
78,2023-01-02,DE,Organic
79,2023-01-02,DE,Organic
80,2023-01-02,NL,Organic
81,2023-01-02,NL,Organic
82,2023-01-02,DE,Organic
83,2023-01-02,DE,Organic
84,2023-01-02,DE,Organic
85,2023-01-02,NL,Organic
86,2023-01-02,DE,Social
87,2023-01-02,DE,Social
88,2023-01-02,DE,Social
89,2023-01-02,DE,Social
90,2023-01-02,NL,Social
91,2023-01-02,NL,Social
92,2023-01-02,NL,Social
93,2023-01-02,DE,Social
94,2023-01-02,NL,Social
95,2023-01-02,NL,Social
96,2023-01-02,NL,Social
97,2023-01-02,NL,Paid Search
98,2023-01-02,DE,Paid Search
99,2023-01-02,DE,Paid Search
100,2023-01-02,NL,Paid Search
101,2023-01-02,NL,Paid Search
102,2023-01-02,DE,Paid Search
103,2023-01-02,NL,Paid Search
104,2023-01-02,NL,Paid Search
105,2023-01-02,DE,Paid Search
106,2023-01-02,DE,Paid Search
107,2023-01-02,NL,Paid Search
108,2023-01-02,NL,Paid Search
109,2023-01-02,DE,Paid Search
110,2023-01-02,NL,Paid Search
111,2023-01-03,DE,Organic
112,2023-01-03,NL,Organic
113,2023-01-03,DE,Organic
114,2023-01-03,DE,Organic
115,2023-01-03,DE,Organic
116,2023-01-03,DE,Organic
117,2023-01-03,NL,Organic
118,2023-01-03,NL,Organic
119,2023-01-03,DE,Organic
120,2023-01-03,NL,Organic
121,2023-01-03,DE,Organic
122,2023-01-03,NL,Organic
123,2023-01-03,DE,Organic
124,2023-01-03,NL,Organic
125,2023-01-03,NL,Organic
126,2023-01-03,DE,Organic
127,2023-01-03,DE,Organic
128,2023-01-03,NL,Organic
129,2023-01-03,NL,Organic
130,2023-01-03,NL,Organic
131,2023-01-03,NL,Organic
132,2023-01-03,NL,Organic
133,2023-01-03,DE,Organic
134,2023-01-03,NL,Organic
135,2023-01-03,DE,Organic
136,2023-01-03,DE,Organic
137,2023-01-03,DE,Organic
138,2023-01-03,NL,Organic
139,2023-01-03,NL,Organic
140,2023-01-03,DE,Organic
141,2023-01-03,NL,Organic
142,2023-01-03,DE,Organic
143,2023-01-03,DE,Organic
144,2023-01-03,NL,Organic
145,2023-01-03,NL,Organic
146,2023-01-03,NL,Organic
147,2023-01-03,DE,Organic
148,2023-01-03,NL,Social
149,2023-01-03,DE,Social
150,2023-01-03,DE,Paid Search
151,2023-01-03,NL,Paid Search
152,2023-01-03,DE,Paid Search
153,2023-01-03,NL,Paid Search
154,2023-01-03,NL,Paid Search
155,2023-01-03,DE,Paid Search
156,2023-01-03,DE,Paid Search
157,2023-01-03,DE,Paid Search
158,2023-01-03,DE,Paid Search
159,2023-01-03,NL,Paid Search
160,2023-01-03,DE,Paid Search
161,2023-01-03,NL,Paid Search
162,2023-01-03,NL,Paid Search
163,2023-01-03,DE,Paid Search
164,2023-01-03,DE,Paid Search
165,2023-01-03,NL,Paid Search
166,2023-01-03,NL,Paid Search
167,2023-01-03,NL,Paid Search
168,2023-01-04,DE,Organic
169,2023-01-04,DE,Organic
170,2023-01-04,NL,Organic
171,2023-01-04,DE,Organic
172,2023-01-04,DE,Organic
173,2023-01-04,DE,Organic
174,2023-01-04,NL,Organic
175,2023-01-04,DE,Organic
176,2023-01-04,NL,Organic
177,2023-01-04,DE,Organic
178,2023-01-04,NL,Organic
179,2023-01-04,NL,Organic
180,2023-01-04,NL,Organic
181,2023-01-04,NL,Organic
182,2023-01-04,NL,Organic
183,2023-01-04,NL,Organic
184,2023-01-04,NL,Organic
185,2023-01-04,DE,Organic
186,2023-01-04,NL,Organic
187,2023-01-04,NL,Organic
188,2023-01-04,DE,Organic
189,2023-01-04,NL,Organic
190,2023-01-04,NL,Organic
191,2023-01-04,NL,Organic
192,2023-01-04,DE,Organic
193,2023-01-04,DE,Organic
194,2023-01-04,NL,Organic
195,2023-01-04,NL,Organic
196,2023-01-04,NL,Organic
197,2023-01-04,NL,Organic
198,2023-01-04,NL,Organic
199,2023-01-04,DE,Organic
200,2023-01-04,NL,Organic
201,2023-01-04,NL,Email
202,2023-01-04,NL,Email
203,2023-01-04,NL,Email
204,2023-01-04,NL,Email
205,2023-01-04,DE,Email
206,2023-01-04,NL,Email
207,2023-01-04,DE,Email
208,2023-01-04,DE,Email
209,2023-01-04,NL,Email
210,2023-01-04,DE,Email
211,2023-01-04,DE,Email
212,2023-01-04,DE,Email
213,2023-01-04,DE,Email
214,2023-01-04,NL,Email
215,2023-01-04,DE,Email
216,2023-01-04,NL,Paid Search
217,2023-01-04,NL,Paid Search
218,2023-01-04,DE,Paid Search
219,2023-01-04,NL,Paid Search
220,2023-01-04,DE,Paid Search
221,2023-01-04,NL,Paid Search
222,2023-01-04,DE,Paid Search
223,2023-01-04,NL,Paid Search
224,2023-01-04,DE,Paid Search
225,2023-01-04,NL,Paid Search
226,2023-01-04,NL,Paid Search
227,2023-01-04,NL,Paid Search
228,2023-01-04,NL,Paid Search
229,2023-01-04,DE,Paid Search
230,2023-01-05,NL,Organic
231,2023-01-05,DE,Organic
232,2023-01-05,NL,Organic
233,2023-01-05,DE,Organic
234,2023-01-05,NL,Organic
235,2023-01-05,DE,Organic
236,2023-01-05,NL,Organic
237,2023-01-05,NL,Organic
