order_id,customer_id,product_id,order_date,category,channel,quantity,base_price,revenue
1,33,12,2023-01-01,Fashion,Organic,1,150,150.0
2,14,13,2023-01-01,Fashion,Organic,2,60,120.0
3,30,24,2023-01-01,Sports,Organic,1,50,50.0
4,24,14,2023-01-01,Fashion,Organic,1,80,80.0
5,4,21,2023-01-01,Home,Organic,1,450,450.0
6,15,14,2023-01-01,Fashion,Organic,1,80,80.0
7,30,24,2023-01-01,Sports,Organic,1,50,50.0
8,31,13,2023-01-01,Fashion,Organic,2,60,120.0
9,24,20,2023-01-01,Home,Organic,2,25,50.0
10,29,8,2023-01-01,Fashion,Organic,1,120,120.0
11,7,28,2023-01-01,Sports,Organic,1,130,130.0
12,15,1,2023-01-01,Electronics,Organic,1,800,800.0
13,22,3,2023-01-01,Electronics,Organic,1,1200,1200.0
14,19,26,2023-01-01,Sports,Organic,2,35,70.0
15,46,24,2023-01-01,Sports,Paid Search,1,50,45.0
16,7,21,2023-01-01,Home,Paid Search,1,450,405.0
17,27,8,2023-01-01,Fashion,Paid Search,1,120,108.0
18,41,28,2023-01-01,Sports,Paid Search,2,130,234.0
19,84,9,2023-01-02,Fashion,Organic,1,90,90.0
20,65,26,2023-01-02,Sports,Organic,1,35,35.0
21,82,10,2023-01-02,Fashion,Organic,1,200,200.0
22,15,14,2023-01-02,Fashion,Organic,1,80,80.0
23,46,12,2023-01-02,Fashion,Organic,1,150,150.0
24,62,12,2023-01-02,Fashion,Organic,3,150,450.0
25,74,27,2023-01-02,Sports,Organic,1,25,25.0
26,54,20,2023-01-02,Home,Organic,1,25,25.0
27,69,10,2023-01-02,Fashion,Organic,2,200,400.0
28,55,14,2023-01-02,Fashion,Organic,1,80,80.0
29,2,19,2023-01-02,Home,Organic,1,45,45.0
30,14,8,2023-01-02,Fashion,Organic,3,120,360.0
31,49,23,2023-01-02,Sports,Organic,1,120,120.0
32,7,27,2023-01-02,Sports,Organic,1,25,25.0
33,46,28,2023-01-02,Sports,Social,1,130,130.0
34,58,1,2023-01-02,Electronics,Social,1,800,800.0
35,107,23,2023-01-02,Sports,Paid Search,1,120,108.0
36,82,13,2023-01-02,Fashion,Paid Search,1,60,54.0
37,91,6,2023-01-02,Electronics,Paid Search,1,400,360.0
38,48,21,2023-01-02,Home,Paid Search,1,450,405.0
39,90,9,2023-01-03,Fashion,Organic,1,90,90.0
40,55,27,2023-01-03,Sports,Organic,1,25,25.0
41,85,24,2023-01-03,Sports,Organic,1,50,50.0
42,93,10,2023-01-03,Fashion,Organic,1,200,200.0
43,56,28,2023-01-03,Sports,Organic,1,130,130.0
44,136,11,2023-01-03,Fashion,Organic,3,30,90.0
45,144,14,2023-01-03,Fashion,Organic,1,80,80.0
46,3,8,2023-01-03,Fashion,Organic,1,120,120.0
47,89,4,2023-01-03,Electronics,Organic,1,250,250.0
48,62,13,2023-01-03,Fashion,Organic,1,60,60.0
49,63,22,2023-01-03,Sports,Organic,2,180,360.0
50,83,18,2023-01-03,Home,Organic,1,70,70.0
51,30,18,2023-01-03,Home,Organic,1,70,70.0
52,66,19,2023-01-03,Home,Organic,1,45,45.0
53,166,14,2023-01-03,Fashion,Paid Search,2,80,144.0
54,19,13,2023-01-03,Fashion,Paid Search,1,60,54.0
55,40,1,2023-01-03,Electronics,Paid Search,1,800,720.0
56,118,20,2023-01-03,Home,Paid Search,1,25,22.5
57,122,9,2023-01-04,Fashion,Organic,1,90,90.0
58,137,2,2023-01-04,Electronics,Organic,1,500,500.0
59,35,27,2023-01-04,Sports,Organic,1,25,25.0
60,101,21,2023-01-04,Home,Organic,2,450,900.0
61,140,10,2023-01-04,Fashion,Organic,1,200,200.0
62,163,23,2023-01-04,Sports,Organic,1,120,120.0
63,77,13,2023-01-04,Fashion,Organic,1,60,60.0
64,187,27,2023-01-04,Sports,Organic,2,25,50.0
65,96,15,2023-01-04,Home,Organic,1,250,250.0
66,142,14,2023-01-04,Fashion,Organic,1,80,80.0
67,143,2,2023-01-04,Electronics,Organic,1,500,500.0
68,32,22,2023-01-04,Sports,Organic,2,180,360.0
69,2,19,2023-01-04,Home,Organic,1,45,45.0
70,153,11,2023-01-04,Fashion,Organic,1,30,30.0
71,193,12,2023-01-04,Fashion,Email,1,150,150.0
72,119,6,2023-01-04,Electronics,Email,1,400,400.0
